accession	name	direct_parent	kingdom	super_class	class	sub_class	type	putative
HMDB0000024	3-O-Sulfogalactosylceramide (d18:1/24:0)	Sulfatides	Organic compounds	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids	class	Sphingolipids
HMDB0000026	Ureidopropionic acid	Ureas	Organic compounds	Organic acids and derivatives	Organic carbonic acids and derivatives	Ureas	class	Organic carbonic acids and derivatives
HMDB0000027	Tetrahydrobiopterin	Biopterins and derivatives	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives	class	Pteridines and derivatives
HMDB0000033	Carnosine	Hybrid peptides	Organic compounds	Organic acids and derivatives	Peptidomimetics	Hybrid peptides	class	Peptidomimetics
HMDB00000341	Adenine	6-aminopurines	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	class	Imidazopyrimidines
HMDB00000441	Ascorbic acid	Butenolides	Organic compounds	Organoheterocyclic compounds	Dihydrofurans	Furanones	class	Dihydrofurans
HMDB0000050	Adenosine	Purine nucleosides	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	class	Purine nucleosides
HMDB0000054	Bilirubin	Bilirubins	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Bilirubins	class	Tetrapyrroles and derivatives
HMDB00000761	Dihydrouracil	Pyrimidones	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	class	Diazines
HMDB0000130	Homogentisic acid	2(hydroxyphenyl)acetic acids	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylacetic acids	class	Benzene and substituted derivatives
HMDB00001971	Indoleacetic acid	Indole-3-acetic acid derivatives	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	class	Indoles and derivatives
HMDB0000224	O-Phosphoethanolamine	Phosphoethanolamines	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	class	Organic phosphoric acids and derivatives
HMDB0000246	Tetrahydrofuran	Tetrahydrofurans	Organic compounds	Organoheterocyclic compounds	Tetrahydrofurans	NA	class	Tetrahydrofurans
HMDB00003011	Urocanic acid	Imidazolyl carboxylic acids and derivatives	Organic compounds	Organoheterocyclic compounds	Azoles	Imidazoles	class	Azoles
HMDB00003491	Erythrono-1,4-lactone	Gamma butyrolactones	Organic compounds	Organoheterocyclic compounds	Lactones	Gamma butyrolactones	class	Lactones
HMDB0000375	3-(3-Hydroxyphenyl)propanoic acid	Phenylpropanoic acids	Organic compounds	Phenylpropanoids and polyketides	Phenylpropanoic acids	NA	class	Phenylpropanoic acids
HMDB00004191	3b,7a,12a-Trihydroxy-5b-cholanoic acid	1,2-diacylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Diradylglycerols	class	Glycerolipids
HMDB0000559	3-Methoxy-4-hydroxyphenylethyleneglycol sulfate	Phenylsulfates	Organic compounds	Organic acids and derivatives	Organic sulfuric acids and derivatives	Arylsulfates	class	Organic sulfuric acids and derivatives
HMDB0000567	Cinnamic acid	Cinnamic acids	Organic compounds	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Cinnamic acids	class	Cinnamic acids and derivatives
HMDB0000599	Chromium	Homogeneous transition metal compounds	Inorganic compounds	Homogeneous metal compounds	Homogeneous transition metal compounds	NA	class	Homogeneous transition metal compounds
HMDB00007151	Kynurenic acid	Quinoline carboxylic acids	Organic compounds	Organoheterocyclic compounds	Quinolines and derivatives	Quinoline carboxylic acids	class	Quinolines and derivatives
HMDB0000767	Pseudouridine	Nucleoside and nucleotide analogues	Organic compounds	Nucleosides, nucleotides, and analogues	Nucleoside and nucleotide analogues	NA	class	Nucleoside and nucleotide analogues
HMDB0001122	N-Methylformamide	Carboximidic acids	Organic compounds	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids	class	Carboximidic acids and derivatives
HMDB0001189	2(N)-Methyl-norsalsolinol	Tetrahydroisoquinolines	Organic compounds	Organoheterocyclic compounds	Tetrahydroisoquinolines	NA	class	Tetrahydroisoquinolines
HMDB00012121	Hydantoin-5-propionic acid	Hydantoins	Organic compounds	Organoheterocyclic compounds	Azolidines	Imidazolidines	class	Azolidines
HMDB0001218	Coumarin	Coumarins and derivatives	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	NA	class	Coumarins and derivatives
HMDB0001308	5'-Phosphoribosyl-N-formylglycinamide	Glycinamide ribonucleotides	Organic compounds	Nucleosides, nucleotides, and analogues	Glycinamide ribonucleotides	NA	class	Glycinamide ribonucleotides
HMDB0001484	Acetoacetyl-CoA	Aminopiperidines	Organic compounds	Organoheterocyclic compounds	Piperidines	Aminopiperidines	class	Piperidines
HMDB00015181	alpha-CEHC	1-benzopyrans	Organic compounds	Organoheterocyclic compounds	Benzopyrans	1-benzopyrans	class	Benzopyrans
HMDB0001848	Imipramine	Dibenzazepines	Organic compounds	Organoheterocyclic compounds	Benzazepines	Dibenzazepines	class	Benzazepines
HMDB0001849	Propranolol	Naphthalenes	Organic compounds	Benzenoids	Naphthalenes	NA	class	Naphthalenes
HMDB0001871	Epicatechin	Catechins	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavans	class	Flavonoids
HMDB0001913	Omeprazole	Sulfinylbenzimidazoles	Organic compounds	Organoheterocyclic compounds	Benzimidazoles	Sulfinylbenzimidazoles	class	Benzimidazoles
HMDB0001920	Dextromethorphan	Morphinans	Organic compounds	Alkaloids and derivatives	Morphinans	NA	class	Morphinans
HMDB0002039	2-Pyrrolidinone	Pyrrolidine-2-ones	Organic compounds	Organoheterocyclic compounds	Pyrrolidines	Pyrrolidones	class	Pyrrolidines
HMDB00020721	4-Methoxyphenylacetic acid	Anisoles	Organic compounds	Benzenoids	Phenol ethers	Anisoles	class	Phenol ethers
HMDB00021141	Bisdemethoxycurcumin	Curcuminoids	Organic compounds	Phenylpropanoids and polyketides	Diarylheptanoids	Linear diarylheptanoids	class	Diarylheptanoids
HMDB0002151	Dimethyl sulfoxide	Sulfoxides	Organic compounds	Organosulfur compounds	Sulfoxides	NA	class	Sulfoxides
HMDB0002209	Equol	Isoflavanols	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	Isoflavans	class	Isoflavonoids
HMDB0002303	Dimethylsulfide	Dialkylthioethers	Organic compounds	Organosulfur compounds	Thioethers	Dialkylthioethers	class	Thioethers
HMDB0002783	Sennoside B	Anthracenecarboxylic acids	Organic compounds	Benzenoids	Anthracenes	Anthracenecarboxylic acids and derivatives	class	Anthracenes
HMDB0002873	Deacetyldiltiazem	Benzothiazepines	Organic compounds	Organoheterocyclic compounds	Benzothiazepines	NA	class	Benzothiazepines
HMDB0002899	Ellagic acid	Hydrolyzable tannins	Organic compounds	Phenylpropanoids and polyketides	Tannins	Hydrolyzable tannins	class	Tannins
HMDB0003066	Chalcone	Retrochalcones	Organic compounds	Phenylpropanoids and polyketides	Linear 1,3-diarylpropanoids	Chalcones and dihydrochalcones	class	Linear 1,3-diarylpropanoids
HMDB0003323	Biotripyrrin-a	Substituted pyrroles	Organic compounds	Organoheterocyclic compounds	Pyrroles	Substituted pyrroles	class	Pyrroles
HMDB0003441	Cinnamaldehyde	Cinnamaldehydes	Organic compounds	Phenylpropanoids and polyketides	Cinnamaldehydes	NA	class	Cinnamaldehydes
HMDB0003747	Resveratrol	Stilbenes	Organic compounds	Phenylpropanoids and polyketides	Stilbenes	NA	class	Stilbenes
HMDB0004078	Cinnavalininate	Phenoxazines	Organic compounds	Organoheterocyclic compounds	Benzoxazines	Phenoxazines	class	Benzoxazines
HMDB0004629	O-Desmethylangolensin	Alpha-methyldeoxybenzoin flavonoids	Organic compounds	Phenylpropanoids and polyketides	Alpha-methyldeoxybenzoin flavonoids	NA	class	Alpha-methyldeoxybenzoin flavonoids
HMDB0004666	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)	Endocannabinoids	Organic compounds	Lipids and lipid-like molecules	Endocannabinoids	NA	class	Endocannabinoids
HMDB0005010	Sertraline	Tametralines	Organic compounds	Benzenoids	Tetralins	Tametralines	class	Tetralins
HMDB0005012	Olanzapine	Benzodiazepines	Organic compounds	Organoheterocyclic compounds	Benzodiazepines	NA	class	Benzodiazepines
HMDB0005020	Risperidone	Pyridopyrimidines	Organic compounds	Organoheterocyclic compounds	Pyridopyrimidines	NA	class	Pyridopyrimidines
HMDB0005034	Topiramate	Dioxolopyrans	Organic compounds	Organoheterocyclic compounds	Dioxolopyrans	NA	class	Dioxolopyrans
HMDB00050421	Aripiprazole	Phenylpiperazines	Organic compounds	Organoheterocyclic compounds	Diazinanes	Piperazines	class	Diazinanes
HMDB0005806	gamma-Terpinene	Branched unsaturated hydrocarbons	Organic compounds	Hydrocarbons	Unsaturated hydrocarbons	Branched unsaturated hydrocarbons	class	Unsaturated hydrocarbons
HMDB0005843	Allyl isothiocyanate	Isothiocyanates	Organic compounds	Organosulfur compounds	Isothiocyanates	NA	class	Isothiocyanates
HMDB0005879	Dimethyldisulfide	Dialkyldisulfides	Organic compounds	Organosulfur compounds	Organic disulfides	Dialkyldisulfides	class	Organic disulfides
HMDB0006101	Enterolactone	Dibenzylbutyrolactone lignans	Organic compounds	Lignans, neolignans and related compounds	Furanoid lignans	Tetrahydrofuran lignans	class	Furanoid lignans
HMDB0006348	Pseudoecgonine	Tropane alkaloids	Organic compounds	Alkaloids and derivatives	Tropane alkaloids	NA	class	Tropane alkaloids
HMDB0006773	11b-Hydroxyandrost-4-ene-3,17-dione	Phenylmorpholines	Organic compounds	Organoheterocyclic compounds	Oxazinanes	Morpholines	class	Oxazinanes
HMDB0011672	Aflatoxin B1 dialcohol	Naphthofurans	Organic compounds	Organoheterocyclic compounds	Naphthofurans	NA	class	Naphthofurans
HMDB0012491	1,4-Benzothiazine-O-quinonimine	Benzothiazines	Organic compounds	Organoheterocyclic compounds	Benzothiazines	NA	class	Benzothiazines
HMDB0012492	1-(1,2,3,4,5-Pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate	Harmala alkaloids	Organic compounds	Alkaloids and derivatives	Harmala alkaloids	NA	class	Harmala alkaloids
HMDB0012779	4-Hydroxyestrone sulfate	Thienopyridines	Organic compounds	Organoheterocyclic compounds	Thienopyridines	NA	class	Thienopyridines
HMDB0013139	1-Hydroxypyrene	Pyrenes	Organic compounds	Benzenoids	Pyrenes	NA	class	Pyrenes
HMDB0013156	16-alpha-Hydroxyandrosterone	Phenanthrols	Organic compounds	Benzenoids	Phenanthrenes and derivatives	Phenanthrols	class	Phenanthrenes and derivatives
HMDB0013815	2,3-Dihydrobenzofuran	Coumarans	Organic compounds	Organoheterocyclic compounds	Coumarans	NA	class	Coumarans
HMDB0013960	Donepezil metabolite M4	Indanones	Organic compounds	Benzenoids	Indanes	Indanones	class	Indanes
HMDB0013968	Hydroxyzileuton	1-benzothiophenes	Organic compounds	Organoheterocyclic compounds	Benzothiophenes	1-benzothiophenes	class	Benzothiophenes
HMDB0014351	Reserpine	Yohimbine alkaloids	Organic compounds	Alkaloids and derivatives	Yohimbine alkaloids	NA	class	Yohimbine alkaloids
HMDB0014374	Cefotiam	Cephalosporins	Organic compounds	Organoheterocyclic compounds	Lactams	Beta lactams	class	Lactams
HMDB0014392	Methysergide	Lysergic acids and derivatives	Organic compounds	Alkaloids and derivatives	Ergoline and derivatives	Lysergic acids and derivatives	class	Ergoline and derivatives
HMDB0014399	Doxycycline	Tetracyclines	Organic compounds	Phenylpropanoids and polyketides	Tetracyclines	NA	class	Tetracyclines
HMDB0014456	Ethoxzolamide	Benzothiazoles	Organic compounds	Organoheterocyclic compounds	Benzothiazoles	NA	class	Benzothiazoles
HMDB0014484	Metixene	Thioxanthenes	Organic compounds	Organoheterocyclic compounds	Benzothiopyrans	1-benzothiopyrans	class	Benzothiopyrans
HMDB0014592	Dipivefrin	Phenol esters	Organic compounds	Benzenoids	Phenol esters	NA	class	Phenol esters
HMDB0014629	Nabilone	Naphthopyranones	Organic compounds	Organoheterocyclic compounds	Naphthopyrans	Naphthopyranones	class	Naphthopyrans
HMDB0014852	Apomorphine	Aporphines	Organic compounds	Alkaloids and derivatives	Aporphines	NA	class	Aporphines
HMDB0014898	Meropenem	Camptothecins	Organic compounds	Alkaloids and derivatives	Camptothecins	NA	class	Camptothecins
HMDB0015026	Granisetron	Indazole-3-carboxamides	Organic compounds	Organoheterocyclic compounds	Benzopyrazoles	Indazoles	class	Benzopyrazoles
HMDB0015055	Spectinomycin	1,4-dioxanes	Organic compounds	Organoheterocyclic compounds	Dioxanes	1,4-dioxanes	class	Dioxanes
HMDB0015168	Cerulenin	Oxirane carboxylic acids and derivatives	Organic compounds	Organoheterocyclic compounds	Epoxides	Oxirane carboxylic acids and derivatives	class	Epoxides
HMDB0015391	Decitabine	Triazinones	Organic compounds	Organoheterocyclic compounds	Triazines	Triazinones	class	Triazines
HMDB0015437	Saprisartan	2-arylbenzofuran flavonoids	Organic compounds	Phenylpropanoids and polyketides	2-arylbenzofuran flavonoids	NA	class	2-arylbenzofuran flavonoids
HMDB0015593	Ixabepilone	Epothilones and analogues	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues	Epothilones and analogues	class	Macrolides and analogues
HMDB0015629	Sitaxentan	Benzodioxoles	Organic compounds	Organoheterocyclic compounds	Benzodioxoles	NA	class	Benzodioxoles
HMDB0029367	Sanguinarine	Quaternary benzophenanthridine alkaloids	Organic compounds	Alkaloids and derivatives	Benzophenanthridine alkaloids	Quaternary benzophenanthridine alkaloids	class	Benzophenanthridine alkaloids
HMDB00295351	Grevilline A	Dihydropyranones	Organic compounds	Organoheterocyclic compounds	Pyrans	Pyranones and derivatives	class	Pyrans
HMDB0029755	3-Thiocyanato-1-propene	Allyl sulfur compounds	Organic compounds	Organosulfur compounds	Allyl sulfur compounds	NA	class	Allyl sulfur compounds
HMDB0029829	Norchalciporyl propionate	Azepines	Organic compounds	Organoheterocyclic compounds	Azepines	NA	class	Azepines
HMDB0030557	Tracheloside	Lignan glycosides	Organic compounds	Lignans, neolignans and related compounds	Lignan glycosides	NA	class	Lignan glycosides
HMDB0031189	S-Methyl thioacetate	Thioesters	Organic compounds	Organic acids and derivatives	Thiocarboxylic acids and derivatives	Thioesters	class	Thiocarboxylic acids and derivatives
HMDB00313171	Bis(methylthio)methane	Dithioacetals	Organic compounds	Organosulfur compounds	Thioacetals	Dithioacetals	class	Thioacetals
HMDB0031340	Cyclamic acid	Cyclamates	Organic compounds	Organic acids and derivatives	Sulfamic acid derivatives	Cyclamates	class	Sulfamic acid derivatives
HMDB0031919	Chaetoglobosin N	Chaetoglobosins	Organic compounds	Alkaloids and derivatives	Cytochalasans	Chaetoglobosins	class	Cytochalasans
HMDB0033564	2,3-Dihydro-2-methylthiophene	Dihydrothiophenes	Organic compounds	Organoheterocyclic compounds	Dihydrothiophenes	NA	class	Dihydrothiophenes
HMDB0033961	2-(3-Methylbutyl)-1H-pyrrolo[2,3-b]pyridine	Pyrrolopyridines	Organic compounds	Organoheterocyclic compounds	Pyrrolopyridines	NA	class	Pyrrolopyridines
HMDB0034363	Monocrotaline	Pyrrolizines	Organic compounds	Organoheterocyclic compounds	Pyrrolizines	NA	class	Pyrrolizines
HMDB0034464	Austinol	Furopyrans	Organic compounds	Organoheterocyclic compounds	Furopyrans	NA	class	Furopyrans
HMDB0041083	(E)-Raphanusanin	Thiolactams	Organic compounds	Organoheterocyclic compounds	Thiolactams	NA	class	Thiolactams
HMDB00000011	1-Methylhistidine	Histidine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Histidine and derivatives
HMDB00000151	Cortexolone	21-hydroxysteroids	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	direct_parent	21-hydroxysteroids
HMDB0000021	Iodotyrosine	Tyrosine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Tyrosine and derivatives
HMDB00000311	Androsterone	Androgens and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Androstane steroids	direct_parent	Androgens and derivatives
HMDB00000321	7-Dehydrocholesterol	Cholesterols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholestane steroids	direct_parent	Cholesterols and derivatives
HMDB00000361	Taurocholic acid	Trihydroxy bile acids, alcohols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	direct_parent	Trihydroxy bile acids, alcohols and derivatives
HMDB00000391	Butyric acid	Straight chain fatty acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	direct_parent	Straight chain fatty acids
HMDB0000043	Betaine	Alpha amino acids	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Alpha amino acids
HMDB00000481	Melibiose	O-glycosyl compounds	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	O-glycosyl compounds
HMDB0000052	Argininosuccinic acid	Aspartic acid and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Aspartic acid and derivatives
HMDB0000056	beta-Alanine	Beta amino acids and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Beta amino acids and derivatives
HMDB0000064	Creatine	Alpha amino acids and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Alpha amino acids and derivatives
HMDB0000078	Cysteinylglycine	Dipeptides	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Dipeptides
HMDB0000082	Cytidine triphosphate	Pentose phosphates	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Pentose phosphates
HMDB0000098	D-Xylose	Pentoses	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Pentoses
HMDB0000099	L-Cystathionine	L-cysteine-S-conjugates	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	L-cysteine-S-conjugates
HMDB0000107	Galactitol	Sugar alcohols	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Sugar alcohols
HMDB0000112	gamma-Aminobutyric acid	Gamma amino acids and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Gamma amino acids and derivatives
HMDB0000121	Folic acid	Glutamic acid and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Glutamic acid and derivatives
HMDB0000122	D-Glucose	Hexoses	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Hexoses
HMDB0000125	Glutathione	Peptides	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Peptides
HMDB0000127	D-Glucuronic acid	Glucuronic acid derivatives	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Glucuronic acid derivatives
HMDB00001301	Homogentisic acid	2(hydroxyphenyl)acetic acids	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylacetic acids	direct_parent	2(hydroxyphenyl)acetic acids
HMDB0000139	Glyceric acid	Sugar acids and derivatives	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Sugar acids and derivatives
HMDB0000150	Gluconolactone	Gluconolactones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Gluconolactones
HMDB00001521	Gentisic acid	Hydroxybenzoic acid derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Hydroxybenzoic acid derivatives
HMDB0000159	L-Phenylalanine	Phenylalanine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Phenylalanine and derivatives
HMDB0000161	L-Alanine	Alanine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Alanine and derivatives
HMDB0000162	L-Proline	Proline and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Proline and derivatives
HMDB0000167	L-Threonine	L-alpha-amino acids	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	L-alpha-amino acids
HMDB0000168	L-Asparagine	Asparagine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Asparagine and derivatives
HMDB0000172	L-Isoleucine	Isoleucine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Isoleucine and derivatives
HMDB00002011	L-Acetylcarnitine	Acyl carnitines	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	direct_parent	Acyl carnitines
HMDB0000207	Oleic acid	Long-chain fatty acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	direct_parent	Long-chain fatty acids
HMDB0000211	myo-Inositol	Cyclohexanols	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	direct_parent	Cyclohexanols
HMDB0000212	N-Acetylgalactosamine	N-acyl-alpha-hexosamines	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	N-acyl-alpha-hexosamines
HMDB0000215	N-Acetyl-D-glucosamine	Acylaminosugars	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Acylaminosugars
HMDB0000227	Mevalonic acid	Hydroxy fatty acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	direct_parent	Hydroxy fatty acids
HMDB0000230	N-Acetylneuraminic acid	N-acylneuraminic acids	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	N-acylneuraminic acids
HMDB0000253	Pregnenolone	Gluco/mineralocorticoids, progestogins and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Pregnane steroids	direct_parent	Gluco/mineralocorticoids, progestogins and derivatives
HMDB0000307	1beta-Hydroxycholic acid	Tetrahydroxy bile acids, alcohols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	direct_parent	Tetrahydroxy bile acids, alcohols and derivatives
HMDB0000321	2-Hydroxyadipic acid	Medium-chain fatty acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	direct_parent	Medium-chain fatty acids
HMDB0000323	3-Amino-2-piperidone	Alpha amino acid amides	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Alpha amino acid amides
HMDB0000339	2-Methylbutyrylglycine	N-acyl-alpha amino acids	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	N-acyl-alpha amino acids
HMDB0000348	3b,12a-Dihydroxy-5a-cholanoic acid	Dihydroxy bile acids, alcohols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	direct_parent	Dihydroxy bile acids, alcohols and derivatives
HMDB0000397	2-Pyrocatechuic acid	Salicylic acids	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Salicylic acids
HMDB00004171	3D,7D,11D-Phytanic acid	Acyclic diterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	direct_parent	Acyclic diterpenoids
HMDB00004192	3b,7a,12a-Trihydroxy-5b-cholanoic acid	1,2-diacylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Diradylglycerols	direct_parent	1,2-diacylglycerols
HMDB0000422	2-Methylglutaric acid	Methyl-branched fatty acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	direct_parent	Methyl-branched fatty acids
HMDB0000434	Homoveratric acid	Dimethoxybenzenes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Methoxybenzenes	direct_parent	Dimethoxybenzenes
HMDB0000445	Alpha-Tetrasaccharide	Oligosaccharides	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Oligosaccharides
HMDB0000455	Allocystathionine	Cysteine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Cysteine and derivatives
HMDB00004741	Butanone	Ketones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Ketones
HMDB0000483	5b-Cholestane-3a,7a,12a,23S,25-pentol	Pentahydroxy bile acids, alcohols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	direct_parent	Pentahydroxy bile acids, alcohols and derivatives
HMDB0000484	Vanillic acid	M-methoxybenzoic acids and derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	M-methoxybenzoic acids and derivatives
HMDB0000489	Aspartylglycosamine	Glycosylamines	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Glycosylamines
HMDB0000496	3-Methoxy-4-hydroxyphenylglycol glucuronide	Phenolic glycosides	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Phenolic glycosides
HMDB0000520	5a-Cholestane-3a,7a,12a,25-tetrol	Phosphatidylethanolamines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	direct_parent	Phosphatidylethanolamines
HMDB00005341	Campestanol	Ergosterols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergostane steroids	direct_parent	Ergosterols and derivatives
HMDB0000548	TG(10:0/10:0/10:0)	Triacylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	direct_parent	Triacylglycerols
HMDB00005611	beta-Carotene	Carotenes	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids	direct_parent	Carotenes
HMDB0000564	PC(16:0/16:0)	Phosphatidylcholines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	direct_parent	Phosphatidylcholines
HMDB00005851	Glucosylgalactosyl hydroxylysine	Fatty acyl glycosides of mono- and disaccharides	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	direct_parent	Fatty acyl glycosides of mono- and disaccharides
HMDB00006101	CE(18:2(9Z,12Z))	Cholesteryl esters	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid esters	direct_parent	Cholesteryl esters
HMDB0000614	PS(16:0/16:0)	Phosphatidylserines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoserines	direct_parent	Phosphatidylserines
