T00007	eco	Escherichia coli K-12 MG1655
T03834	paly	Candidatus Portiera aleyrodidarum MED (Bemisia tabaci)
T00403	crp	Candidatus Carsonella ruddii PV
T02194	cru	Candidatus Carsonella ruddii CE
T02195	crc	Candidatus Carsonella ruddii CS
T02196	crt	Candidatus Carsonella ruddii HT
T02197	crh	Candidatus Carsonella ruddii HC
T02198	crv	Candidatus Carsonella ruddii PC
T02774	cri	Candidatus Carsonella ruddii DC
T03696	eme	Candidatus Evansia muelleri
T05646	zpl	Zymobacter palmae
T04333	haa	Halotalea alkalilenta
T04789	cmai	Cobetia marina
T07922	camh	Cobetia amphilecti
T04839	kus	Kushneria konosiri
T04840	kma	Kushneria marisflavi
T06200	kuy	Kushneria phosphatilytica
T06130	paur	Pistricoccus aurantiacus
T00380	abo	Alcanivorax borkumensis
T02259	adi	Alcanivorax dieselolei
T03580	apac	Alcanivorax pacificus
T03879	aln	Alcanivorax sp. NBRC 101098
T04770	axe	Alcanivorax xenomutans
T05294	kak	Ketobacter alkanivorans
T00567	mmw	Marinomonas sp. MWYL1
T01449	mme	Marinomonas mediterranea
T01508	mpc	Marinomonas posidonica
T06705	mpri	Marinomonas primoryensis
T06902	mard	Marinomonas arctica
T07165	mfoi	Marinomonas foliarum
T07858	mprf	Marinomonas profundi
T02529	tol	Thalassolituus oleivorans MIL-1
T03056	tor	Thalassolituus oleivorans R6-15
T04028	oai	Oleispira antarctica
T04398	mars	Marinobacterium aestuarii
T07136	mgeo	Marinobacterium georgiense
T07998	msec	Marinobacterium sediminicola
T08388	marl	Marinobacterium sp. LSUCC0821
T04982	bsan	Bacterioplanes sanyensis
T06194	ncu	Neptunomonas concharum
T07060	njp	Neptunomonas japonica
T06212	nik	Nitrincola iocasae
T06527	bmar	Bermanella marisrubri
T06992	ajp	Amphritea japonica
T07641	vcw	Venatorbacter cucullus
T08310	bacz	Bacterioplanoides sp. SCSIO 12839
T03690	gsn	Gynuella sunshinyii
T05208	rfo	Reinekea forsetii
T04860	ome	Oleiphilus messinensis
T06278	llp	Litoricola lipolytica
T08210	enw	Endozoicomonas sp. SCSIO W0465
T00424	aha	Aeromonas hydrophila subsp. hydrophila ATCC 7966
T02683	ahy	Aeromonas hydrophila ML09-119
T03186	ahd	Aeromonas hydrophila YL17
T03192	ahr	Aeromonas hydrophila subsp. hydrophila AL09-71
T03193	ahp	Aeromonas hydrophila pc104A
T03574	ahj	Aeromonas hydrophila J-1
T03748	ahh	Aeromonas hydrophila AL06-06
T03886	ahi	Aeromonas hydrophila AH10
T04629	aaj	Aeromonas hydrophila MX16A
T00500	asa	Aeromonas salmonicida subsp. salmonicida A449
T04990	aeo	Aeromonas salmonicida O23A
T01462	avr	Aeromonas veronii B565
T04529	avo	Aeromonas veronii TH0426
T03075	amed	Aeromonas media
T04186	asr	Aeromonas schubertii
T05186	adh	Aeromonas dhakensis
T05190	acav	Aeromonas caviae
T05327	aem	Aeromonas sp. CU5
T05427	aea	Aeromonas sp. ASNIH3
T05453	arv	Aeromonas rivipollensis
T05873	aes	Aeromonas sp. ASNIH5
T06531	ael	Aeromonas encheleia
T07073	asim	Aeromonas simiae
T07074	aall	Aeromonas allosaccharophila
T07712	ajd	Aeromonas jandaei
T07884	ariv	Aeromonas rivuli
T08465	asaa	Aeromonas sanarellii
T00904	tau	Tolumonas auensis
T01667	oce	Oceanimonas sp. GK1
T04855	ocm	Oceanisphaera avium
T04856	opf	Oceanisphaera profunda
T05100	zdf	Zobellella denitrificans
T00973	kko	Kangiella koreensis
T03889	kge	Kangiella geojedonensis
T04467	ksd	Kangiella sediminilitoris
T05254	kpd	Kangiella profundi
T00517	dno	Dichelobacter nodosus
T05791	chj	Cardiobacterium hominis
T07824	sutr	Suttonella sp. R2A3
T03066	gap	Gilliamella apicola
T03525	fpp	Frischella perrara
T06493	orb	Zophobihabitans entericus
T04296	sdf	Steroidobacter denitrificans
T05591	sok	Solimonas sp. K1W22B-7
T06400	sini	Sinimarinibacterium sp. NLF-5-8
T07957	fce	Flagellatimonas centrodinii
T04454	gbi	Immundisolibacter cernigliae
T05241	slim	Sulfuricaulis limicola
T05321	sva	Sulfurifustis variabilis
T05469	acii	Acidiferrobacter sp. SPIII_3
T07877	aty	Acidiferrobacter thiooxydans
T05476	saln	Salinisphaera sp. LB1
T08376	gbac	Candidatus Comchoanobacter bicostacola
T03600	tbn	Thiolapillus brandeum
T03943	seds	Sedimenticola thiotaurini
T04071	tsn	Candidatus Pseudothioglobus singularis
T05818	thin	Candidatus Thioglobus sp. NP1
T04079	tho	Candidatus Thioglobus autotrophicus
T04158	pspi	Pseudohongiella spirulinae
T06000	eof	Endosymbiont of Sipalinus gigas
T07618	eor	Endosymbiont of Rhynchophorus ferrugineus
T07678	eop	Endosymbiont of Pachyrhynchus infernalis
T06650	rev	Candidatus Reidiella endopervernicosa
T07098	acil	Candidatus Azoamicus ciliaticola
T07531	cdiz	Celerinatantimonas diazotrophica
T07600	sade	Candidatus Steffania adelgidicola
T00349	bci	Baumannia cicadellinicola Hc (Homalodisca coagulata)
T03277	bcib	Candidatus Baumannia cicadellinicola BGSS
T04544	bcig	Candidatus Baumannia cicadellinicola B-GSS
T08009	ign	Ignatzschineria sp. HR5S32
T00438	rma	Candidatus Ruthia magnifica (Calyptogena magnifica)
T06701	reo	Candidatus Ruthia endofausta
T00530	vok	Candidatus Vesicomyosocius okutanii
T08211	eps	Candidatus Endoriftia persephone
T04606	ebh	Endosymbiont of Bathymodiolus septemdierum
T07716	bthg	Bathymodiolus thermophilus thioautotrophic gill symbiont
T01300	gpb	Gamma proteobacterium HdN1
T04530	enm	Endosymbiont of unidentified scaly snail isolate Monju
T07679	eeu	Endosymbiont of Euscepes postfasciatus
T07680	ifo	Isorropodon fossajaponicum endosymbiont
T07717	aphf	Abyssogena phaseoliformis symbiont
T00027	nme	Neisseria meningitidis MC58 (serogroup B)
T01932	nmp	Neisseria meningitidis alpha710 (serogroup B)
T01946	nmh	Neisseria meningitidis H44/76 (serogroup B)
T01929	nmd	Neisseria meningitidis G2136 (serogroup B)
T01930	nmm	Neisseria meningitidis M01-240149 (serogroup B)
T01947	nms	Neisseria meningitidis M01-240355 (serogroup B)
T01948	nmq	Neisseria meningitidis M04-240196 (serogroup B)
T01949	nmz	Neisseria meningitidis NZ-05/33 (serogroup B)
T00031	nma	Neisseria meningitidis Z2491 (serogroup A)
T01931	nmw	Neisseria meningitidis WUE 2594 (serogroup A)
T03438	nmx	Neisseria meningitidis 510612 (serogroup A)
T00458	nmc	Neisseria meningitidis FAM18 (serogroup C)
T00633	nmn	Neisseria meningitidis 053442 (serogroup C)
T01928	nmt	Neisseria meningitidis 8013 (serogroup C)
T00954	nmi	Neisseria meningitidis alpha14 (cnl strain)
T00237	ngo	Neisseria gonorrhoeae FA 1090
T00728	ngk	Neisseria gonorrhoeae NCCP11945
T01368	nla	Neisseria lactamica
T03569	nel	Neisseria elongata
T04355	nwe	Neisseria weaveri
T04958	nsi	Neisseria mucosa FDAARGOS_260
T05436	nmj	Neisseria mucosa ATCC 19696
T05718	nei	Neisseria chenwenguii
T05913	nek	Neisseria sp. KEM232
T06171	nfv	Neisseria flavescens
T06236	nsf	Neisseria subflava
T06266	nzl	Neisseria zalophi
T06425	naq	Neisseria animalis
T06557	nbl	Neisseria brasiliensis
T06683	nzo	Neisseria zoodegmatis
T06799	nci	Neisseria canis
T06828	ncz	Neisseria cinerea
T06907	nani	Neisseria animaloris
T06984	nbc	Neisseria bacilliformis
T07067	nwd	Neisseria wadsworthii
T07084	nsg	Neisseria shayeganii
T07094	nmus	Neisseria musculi
T07263	nsc	Neisseria sicca
T07577	npf	Neisseria perflava
T07671	ndn	Neisseria dentiae
T07968	nwx	Neisseria weixii
T08094	ndu	Neisseria dumasiana
T08172	naw	Neisseria arctica
T08217	nmb	Neisseria macacae
T03063	salv	Snodgrassella alvi
T04151	kki	Kingella kingae
T06724	koa	Kingella oralis
T08248	kpot	Kingella potus
T04960	vff	Vitreoscilla filiformis
T05336	vit	Vitreoscilla sp. C1
T08153	vst	Vitreoscilla stercoraria
T08422	vms	Vitreoscilla massiliensis
T05039	ecor	Eikenella corrodens
T06211	eex	Eikenella exigua
T05344	smur	Simonsiella muelleri
T06725	aff	Alysiella filiformis
T08264	acrs	Alysiella crassa
T06730	cste	Conchiformibius steedae
T08263	ckh	Conchiformibius kuhniae
T05482	nba	Aquella oligotrophica
T07686	ptes	Paralysiella testudinis
T08033	mcer	Morococcus cerebrosus
T08067	usu	Uruburuella suis
T08135	ute	Uruburuella testudinis
T08126	wbo	Wielerella bovis
T00147	cvi	Chromobacterium violaceum
T04565	cvc	Chromobacterium vaccinii
T05234	chro	Chromobacterium sp. ATCC 53434
T05549	chri	Chromobacterium phragmitis IIBBL 112-1
T05744	chrb	Chromobacterium phragmitis IIBBL 274-1
T05688	crz	Chromobacterium rhizoryzae
T06224	chrm	Chromobacterium paludis
T06734	chae	Chromobacterium haemolyticum
T05767	iod	Iodobacter ciconiae
T06803	ifl	Iodobacter fluviatilis
T00884	lhk	Laribacter hongkongensis
T01619	pse	Pseudogulbenkiania sp. NH8B
T04552	jeu	Jeongeupia sp. USM3
T04696	aql	Aquaspirillum sp. LM1
T05698	amah	Aquitalea magnusonii
T05865	aqs	Aquitalea sp. USM4
T06622	dee	Deefgea sp. D17
T06696	chiz	Chitinibacter bivalviorum
T06720	cfon	Chitinibacter fontanus
T07617	vog	Vogesella sp. XCS3
T00071	rso	Ralstonia solanacearum GMI1000
T01272	rsc	Ralstonia solanacearum CFBP2957
T01273	rsl	Ralstonia solanacearum PSI07
T02005	rsn	Ralstonia solanacearum Po82
T02725	rsm	Ralstonia solanacearum CMR15
T02751	rse	Ralstonia solanacearum FQY_4
T06155	rsy	Ralstonia solanacearum UY031
T00762	rpi	Ralstonia pickettii 12J
T00925	rpf	Ralstonia pickettii 12D
T03172	rpj	Ralstonia pickettii DTP0602
T03778	rmn	Ralstonia mannitolilytica
T04471	rin	Ralstonia insidiosa
T05645	rpu	Ralstonia pseudosolanacearum
T07219	rsg	Ralstonia syzygii subsp. celebesensis
T00416	reh	Cupriavidus necator H16
T01564	cnc	Cupriavidus necator N-1
T05121	cuh	Cupriavidus necator NH9
T00268	reu	Cupriavidus pinatubonensis JMP134
T00351	rme	Cupriavidus metallidurans
T00702	cti	Cupriavidus taiwanensis
T03642	cbw	Cupriavidus basilensis
T04050	cgd	Cupriavidus gilardii
T04762	ccup	Cupriavidus sp. USMAHM13
T04978	cup	Cupriavidus malaysiensis
T05072	cuu	Cupriavidus sp. USMAA2-4
T05738	cpau	Cupriavidus pauculus
T06004	cox	Cupriavidus oxalaticus
T08350	ccam	Cupriavidus campinensis
T00204	bma	Burkholderia mallei ATCC 23344
T00457	bmv	Burkholderia mallei SAVP1
T00471	bml	Burkholderia mallei NCTC 10229
T00479	bmn	Burkholderia mallei NCTC 10247
T03323	bmal	Burkholderia mallei 23344
T03489	bmae	Burkholderia mallei 6
T03490	bmaq	Burkholderia mallei BMQ
T03522	bmai	Burkholderia mallei 2000031063
T03523	bmaf	Burkholderia mallei FMH 23344
T03524	bmaz	Burkholderia mallei NCTC 10247
T03872	bmab	Burkholderia mallei 2002734299
T00203	bps	Burkholderia pseudomallei K96243
T00289	bpm	Burkholderia pseudomallei 1710b
T00480	bpl	Burkholderia pseudomallei 1106a
T00481	bpd	Burkholderia pseudomallei 668
T00894	bpr	Burkholderia pseudomallei MSHR346
T02756	bpse	Burkholderia pseudomallei MSHR305
T03012	bpsm	Burkholderia pseudomallei MSHR511
T03024	bpsu	Burkholderia pseudomallei MSHR146
T03163	bpsd	Burkholderia pseudomallei MSHR520
T02049	bpz	Burkholderia pseudomallei 1026b
T02301	bpq	Burkholderia pseudomallei BPC006
T02894	bpk	Burkholderia pseudomallei NCTC 13179
T03422	bpsh	Burkholderia pseudomallei HBPUB10134a
T03476	bpsa	Burkholderia pseudomallei NAU35A-3
T03498	bpso	Burkholderia pseudomallei A79A
T03428	but	Burkholderia pseudomallei TSV202
T00311	bte	Burkholderia thailandensis E264
T03111	btq	Burkholderia thailandensis 2002721723
T03112	btj	Burkholderia thailandensis E444
T03113	btz	Burkholderia thailandensis H0587
T02644	btd	Burkholderia thailandensis MSMB121
T03416	btv	Burkholderia thailandensis MSMB59
T03380	bthe	Burkholderia thailandensis E254
T03391	bthm	Burkholderia thailandensis USAMRU Malaysia #20
T03763	btha	Burkholderia thailandensis 2003015869
T03882	bthl	Burkholderia thailandensis 2002721643
T03284	bok	Burkholderia oklahomensis E0147
T03861	boc	Burkholderia oklahomensis C6786
T06044	buu	Burkholderia mayonis
T07932	bsav	Burkholderia savannae
T08266	bhg	Burkholderia humptydooensis
T00493	bvi	Burkholderia vietnamiensis G4
T03893	bve	Burkholderia vietnamiensis LMG 10929
T00286	bur	Burkholderia lata
T00669	bcm	Burkholderia orbicola
T00415	bch	Burkholderia cenocepacia HI2424
T00771	bcj	Burkholderia cenocepacia J2315
T03308	bcen	Burkholderia cenocepacia DDS 22E-1
T03488	bcew	Burkholderia cenocepacia DWS 37E-2
T03804	bceo	Burkholderia cenocepacia H111
T00398	bam	Burkholderia ambifaria AMMD
T00684	bac	Burkholderia ambifaria MC40-6
T00740	bmj	Burkholderia multivorans ATCC 17616 (Tohoku)
T00624	bmu	Burkholderia multivorans ATCC 17616 (JGI)
T03292	bmk	Burkholderia multivorans DDS 15A-1
T03881	bmul	Burkholderia multivorans ATCC BAA-247
T02205	bct	Burkholderia cepacia GG4
T03302	bced	Burkholderia cepacia DDS 7H-2
T04772	bcep	Burkholderia cepacia ATCC 25416
T03793	bdl	Burkholderia dolosa
T03962	bpyr	Burkholderia pyrrocinia
T03969	bcon	Burkholderia contaminans
T03794	bub	Burkholderia ubonensis
T04698	bdf	Burkholderia diffusa
T04819	blat	Burkholderia latens
T04843	btei	Burkholderia territorii
T04851	bsem	Burkholderia seminalis
T04870	bpsl	Burkholderia pseudomultivorans
T04871	bmec	Burkholderia metallica
T04885	bstg	Burkholderia stagnalis
T04946	bstl	Burkholderia stabilis
T07672	bann	Burkholderia anthina
T00905	bgl	Burkholderia glumae BGR1
T03820	bgu	Burkholderia glumae LMG 2196 = ATCC 33617
T01424	bug	Burkholderia sp. CCGE1001
T01314	bgf	Burkholderia sp. CCGE1003
T01464	bgd	Burkholderia gladioli BSR3
T03826	bgo	Burkholderia gladioli ATCC 10248
T01711	byi	Burkholderia sp. YI23
T02110	buk	Burkholderia sp. KJ006
T03604	bue	Burkholderia sp. RPE67
T03759	bul	Burkholderia sp. 2002721687
T04094	buq	Burkholderia sp. HB1
T03632	bgp	Burkholderia plantarii PG1
T04139	bpla	Burkholderia plantarii ATCC 43733
T04266	bud	Burkholderia sp. Bp5365
T05481	bum	Burkholderia sp. PAMC 26561
T05699	bui	Burkholderia sp. PAMC 28687
T07766	burk	Burkholderia sp. JP2-270
T00340	bxe	Paraburkholderia xenovorans LB400
T03290	bxb	Paraburkholderia xenovorans LB400
T00704	bph	Paraburkholderia phymatum
T01217	bge	Paraburkholderia atlantica CCGE1002
T02300	bpx	Paraburkholderia phenoliruptrix
T00765	bpy	Paraburkholderia phytofirmans PsJN
T05111	buz	Paraburkholderia phytofirmans OLGA172
T03799	bfn	Paraburkholderia fungorum
T04141	bcai	Paraburkholderia caribensis
T04610	pspw	Paraburkholderia sprentiae
T04966	para	Paraburkholderia sp. SOS3
T05169	parb	Paraburkholderia aromaticivorans
T05305	phs	Paraburkholderia hospita
T05318	pter	Paraburkholderia terrae
T05548	pgp	Paraburkholderia graminis
T05740	pcj	Paraburkholderia caledonica
T05812	pts	Paraburkholderia terricola
T06448	pcaf	Paraburkholderia caffeinilytica
T06515	pmeg	Paraburkholderia megapolitana
T07044	ptro	Paraburkholderia tropica
T07246	pgis	Paraburkholderia ginsengisoli
T07262	pacp	Paraburkholderia acidiphila
T07287	pacs	Paraburkholderia acidisoli
T07588	pew	Paraburkholderia edwinii
T08115	pdio	Paraburkholderia dioscoreae
T01355	brh	Mycetohabitans rhizoxinica
T00502	pnu	Polynucleobacter asymbioticus
T00683	pne	Polynucleobacter necessarius
T04207	pdq	Polynucleobacter duraquae
T05507	poh	Polynucleobacter paneuropaeus
T08318	ptrp	Polynucleobacter tropicus
T08332	pani	Polynucleobacter antarcticus
T08333	ppal	Polynucleobacter paludilacus
T08334	pcos	Polynucleobacter corsicus
T02936	ppk	Pandoraea pnomenusa 3kgm
T03067	ppno	Pandoraea pnomenusa RB38
T03411	ppnm	Pandoraea pnomenusa DSM 16536
T02950	prb	Pandoraea pnomenusa
T03553	ppul	Pandoraea pulmonicola
T03554	pspu	Pandoraea sputorum
T03588	papi	Pandoraea apista
T03688	pve	Pandoraea vervacti
T03840	pox	Pandoraea oxalativorans
T03947	ptx	Pandoraea thiooxydans
T03972	pfg	Pandoraea faecigallinarum
T04226	pnr	Pandoraea norimbergensis
T06086	pand	Pandoraea sp. XY-2
T06385	pfib	Pandoraea fibrosis
T08365	pcom	Pandoraea commovens
T05492	plg	Paucimonas lemoignei
T05560	hyf	Ephemeroptericola cinctiostellae
T05799	lmir	Lautropia mirabilis
T05801	mcys	Mycoavidus cysteinexigens
T06459	caba	Caballeronia sp. SBC2
T02684	buo	Caballeronia insecticola
T06583	limn	Limnobacter sp. SAORIC-580
T06695	cari	Chitinimonas arctica
T07343	vtr	Candidatus Vallotia tarda
T07905	vla	Candidatus Vallotia lariciata
T07928	vcv	Candidatus Vallotia cooleyia
T00139	bpe	Bordetella pertussis Tohama I
T01846	bpc	Bordetella pertussis CS
T02296	bper	Bordetella pertussis 18323
T03638	bpet	Bordetella pertussis B1917
T03754	bpeu	Bordetella pertussis 137
T02297	bpar	Bordetella parapertussis Bpp5
T00140	bpa	Bordetella parapertussis 12822
T02344	bbh	Bordetella bronchiseptica 253
T00141	bbr	Bordetella bronchiseptica RB50
T02295	bbm	Bordetella bronchiseptica MO149
T03637	bbx	Bordetella bronchiseptica S798
T00637	bpt	Bordetella petrii
T00695	bav	Bordetella avium
T03052	bho	Bordetella holmesii ATCC 51541
T03379	bhm	Bordetella holmesii 44057
T04004	bhz	Bordetella hinzii
T04322	btrm	Bordetella trematum
T04591	bbro	Bordetella bronchialis
T04592	bfz	Bordetella flabilis
T04945	bpdz	Bordetella pseudohinzii
T04979	boh	Bordetella sp. H567
T05441	bgm	Bordetella genomosp. 13
T05850	boj	Bordetella sp. J329
T01341	axy	Achromobacter xylosoxidans A8
T02785	axo	Achromobacter xylosoxidans NH44784-1996
T02964	axn	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
T04522	axx	Achromobacter xylosoxidans NCTC10807
T04244	adt	Achromobacter denitrificans
T04671	ais	Achromobacter insolitus
T05274	asw	Achromobacter spanius
T05288	achr	Achromobacter sp. AONIH1
T05703	achb	Achromobacter sp. B7
T07788	ady	Achromobacter deleyi
T08458	acho	Achromobacter sp. 77
T01390	teq	Taylorella equigenitalis MCE9
T02186	tea	Taylorella equigenitalis ATCC 35865
T02604	teg	Taylorella equigenitalis 14/56
T01634	tas	Taylorella asinigenitalis MCE3
T02603	tat	Taylorella asinigenitalis 14/45
T01486	put	Pusillimonas sp. T7-7
T05795	pus	Pusillimonas thiosulfatoxidans
T06486	pud	Pusillimonas sp. DMV24BSW_D
T02117	aka	Advenella kashmirensis
T03016	amim	Advenella mimigardefordensis
T03058	cdn	Castellaniella defragrans
T03226	bpsi	Basilea psittacipulmonis
T04157	afa	Alcaligenes faecalis ZD02
T05446	afq	Alcaligenes faecalis JQ135
T05678	aaqu	Alcaligenes aquatilis
T07763	aamm	Alcaligenes ammonioxydans
T04704	phn	Paenalcaligenes hominis
T05133	odi	Orrella dioscoreae
T05532	boz	Orrella marina
T05343	our	Oligella urethralis
T07321	oue	Oligella ureolytica
T05719	pig	Pigmentiphaga sp. H8
T06198	pacr	Pigmentiphaga aceris
T05924	kgy	Kerstersia gyiorum
T07761	park	Paralcaligenes sp. KSB-10
T00334	rfr	Rhodoferax ferrireducens
T04623	rsb	Rhodoferax saidenbachensis
T04655	rac	Rhodoferax antarcticus
T04721	rhy	Rhodoferax koreense
T06165	rhf	Rhodoferax sediminis CHu59-6-5
T06176	rhg	Rhodoferax sediminis Gr-4
T08330	rhoa	Rhodoferax sp. AJA081-3
T00343	pol	Polaromonas sp. JS666
T00459	pna	Polaromonas naphthalenivorans
T05689	pos	Polaromonas sp. SP1
T06273	poo	Polaromonas sp. Pch-P
T06542	pvac	Polaromonas vacuolata
T00451	aav	Acidovorax citrulli
T00455	ajs	Acidovorax sp. JS42
T01445	aaa	Acidovorax avenae
T02290	ack	Acidovorax sp. KKS102
T04481	acra	Acidovorax sp. RAC01
T04914	acid	Acidovorax carolinensis NA2
T04962	acip	Acidovorax carolinensis P4
T04997	acin	Acidovorax carolinensis NA3
T04998	acis	Acidovorax carolinensis P3
T05680	acio	Acidovorax sp. 1608163
T06798	amon	Acidovorax monticola
T07217	aant	Acidovorax antarcticus
T08078	arad	Acidovorax radicis
T00460	vei	Verminephrobacter eiseniae
T00620	dac	Delftia acidovorans
T01497	del	Delftia sp. Cs1-4
T04496	dts	Delftia tsuruhatensis
T04584	dhk	Delftia sp. HK171
T06974	dla	Delftia lacustris
T00916	vap	Variovorax paradoxus S110
T01392	vpe	Variovorax paradoxus EPS
T02835	vpd	Variovorax paradoxus B4
T04325	vaa	Variovorax sp. PAMC 28711
T05068	vbo	Variovorax boronicumulans
T05380	vam	Variovorax sp. PMC12
T01109	ctt	Comamonas thiooxydans
T03218	ctes	Comamonas testosteroni TK102
T04758	cke	Comamonas kerstersii
T04892	cser	Comamonas serinivorans
T06146	cof	Comamonas sp. NLF-7-7
T07338	caqt	Comamonas aquatica
T07833	codo	Comamonas odontotermitis
T01397	adn	Alicycliphilus denitrificans BC
T01463	adk	Alicycliphilus denitrificans K601
T01544	rta	Ramlibacter tataouinensis
T08049	rtea	Ramlibacter sp. H242
T02877	cbx	Candidatus Symbiobacter mobilis
T04031	oto	Ottowia sp. oral taxon 894
T05363	otk	Ottowia oryzae
T08188	otd	Ottowia testudinis
T04120	lim	Limnohabitans sp. 103DPR2
T04121	lih	Limnohabitans sp. 63ED37-2
T04455	hyr	Hydrogenophaga sp. RAC07
T04491	hyb	Hydrogenophaga sp. PBC
T04505	hyl	Hydrogenophaga sp. LPB0072
T05960	hyc	Hydrogenophaga sp. PAMC20947
T06073	hpse	Hydrogenophaga pseudoflava
T06379	hyn	Hydrogenophaga sp. BPS33
T08018	htn	Hydrogenophaga taeniospiralis
T04937	dpy	Diaphorobacter nitroreducens
T06499	dih	Diaphorobacter sp. HDW4A
T06773	daer	Diaphorobacter aerolatus
T06813	drg	Diaphorobacter ruginosibacter
T00853	dia	Acidovorax ebreus
T05361	simp	Simplicispira suum
T05362	melm	Pulveribacter suum
T05358	mela	Melaminivora sp. SC2-9
T07790	mje	Melaminivora jejuensis
T03614	cbaa	Serpentinomonas raichei
T03627	cbab	Serpentinomonas mccroryi
T06904	kia	Kinneretia sp. DAIF2
T06911	sthm	Schlegelella thermodepolymerans
T04216	pbh	Schlegelella brevitalea
T00470	mpt	Methylibium petroleiphilum
T05827	metp	Methylibium sp. Pch-M
T01803	rge	Rubrivivax gelatinosus
T04092	rbn	Rubrivivax benzoatilyticus
T04166	rdp	Roseateles depolymerans
T04402	miu	Mitsuaria sp. 7
T06182	snn	Sphaerotilus sulfidivorans
T07737	idc	Ideonella dechloratans
T08158	ater	Aquincola tertiaricarbonis
T00490	har	Herminiimonas arsenicoxydans
T00561	mms	Janthinobacterium sp. Marseille
T03157	jag	Janthinobacterium agaricidamnosum
T04271	jab	Janthinobacterium sp. B9-8
T04539	jaz	Janthinobacterium sp. 1_2014MBL_MicDiv
T04756	jal	Janthinobacterium sp. LM6
T05119	jsv	Janthinobacterium svalbardensis
T05896	jaj	Janthinobacterium sp. 17J80-10
T06359	jas	Janthinobacterium tructae
T06723	jlv	Janthinobacterium lividum
T01268	hse	Herbaspirillum seropedicae SmR1
T04519	hsz	Herbaspirillum seropedicae Z67
T04039	hht	Herbaspirillum hiltneri
T04238	hrb	Herbaspirillum rubrisubalbicans
T05024	hee	Herbaspirillum sp. meg3
T05937	hhf	Herbaspirillum huttiense
T06761	hfr	Herbaspirillum frisingense
T01304	zin	Candidatus Zinderia insecticola
T01583	cfu	Collimonas fungivorans
T03512	care	Collimonas arenae
T04306	cpra	Collimonas pratensis
T04026	mnr	Massilia sp. NR 4-1
T04122	masw	Massilia sp. WG5
T05157	mass	Massilia violaceinigra
T05448	mtim	Massilia oculi
T05528	masy	Massilia sp. YMA4
T08186	manc	Massilia antarctica
T08391	mfy	Massilia forsythiae
T05378	masz	Pseudoduganella armeniaca
T05903	mali	Pseudoduganella albidiflava
T06138	mum	Pseudoduganella umbonata
T06346	mfla	Pseudoduganella flava
T06563	mpli	Pseudoduganella plicata
T06560	dug	Duganella dendranthematis
T04835	ofo	Oxalobacter formigenes
T05754	upv	Undibacterium parvum
T06644	upi	Undibacterium piscinae
T06116	nok	Noviherbaspirillum sp. UKPF54
T07066	glc	Glaciimonas sp. PAMC28666
T05697	sutt	Sutterella megalosphaeroides
T06027	sutk	Sutterella faecalis
T07195	sws	Sutterella wadsworthensis
T00681	lch	Leptothrix cholodnii
T01227	tin	Thiomonas intermedia
T02347	thi	Thiomonas arsenitoxydans
T04227	pkt	Paucibacter sp. KCTC 42545
T04831	rgu	Rhizobacter gummiphilus
T05429	aon	Aquabacterium olei
T06383	xyk	Xylophilus rhododendri
T07546	ttw	Tepidimonas taiwanensis
T03654	bbag	Burkholderiales bacterium GJ-E10
T04607	bbay	Burkholderiales bacterium YL45
T00130	neu	Nitrosomonas europaea
T00393	net	Nitrosomonas eutropha
T01443	nit	Nitrosomonas sp. AL212
T01569	nii	Nitrosomonas sp. Is79A3
T03942	nco	Nitrosomonas communis
T04188	nur	Nitrosomonas ureae
T06172	nst	Nitrosomonas stercoris
T00302	nmu	Nitrosospira multiformis
T04907	nlc	Nitrosospira lacus
T08467	niz	Nitrosospira sp. NRS527
T03591	shd	Sulfuritalea hydrogenivorans
T04449	metr	Methyloversatilis sp. RAC08
T06737	doe	Denitratisoma oestradiolicum
T00275	tbd	Thiobacillus denitrificans
T00342	mfa	Methylobacillus flagellatus
T00942	mmb	Methylotenera mobilis
T01247	meh	Methylotenera versatilis
T00943	mei	Methylovorus glucosetrophus
T01361	mep	Methylovorus sp. MP688
T03844	mbac	Candidatus Methylopumilus turicensis
T03869	mbat	Candidatus Methylopumilus planktonicus
T04002	meu	Methylophilus sp. TWE2
T07445	mpau	Methyloradius palustris
T01196	slt	Sideroxydans lithotrophicus
T01295	gca	Gallionella capsiferriformans
T05631	fam	Ferriphaselus amnicola
T06613	nim	Candidatus Nitrotoga sp. AM1P
T08244	narc	Candidatus Nitrotoga arctica
T07187	fku	Ferrigenium kumadai
T08108	seme	Sideroxyarcus emersonii
T02857	sdr	Sulfuricella denitrificans
T04857	sulf	Sulfuriferula sp. AH1
T06621	splb	Sulfuriferula plumbiphila
T06628	sniv	Sulfuriferula nivalis
T06796	slac	Sulfurimicrobium lacus skT11
T06990	uru	Usitatibacter rugosus
T06995	upl	Usitatibacter palustris
T01657	dsu	Azospira oryzae
T07061	ares	Azospira restricta
T07865	aiq	Azospira inquinata
T03689	rbu	Rugosibacter aromaticivorans
T06190	otr	Oryzomicrobium terrae
T07082	niv	Niveibacterium microcysteis
T00222	eba	Aromatoleum aromaticum
T07149	abre	Aromatoleum bremense
T07150	apet	Aromatoleum petrolei
T05265	atw	Aromatoleum pumilum
T05394	rbh	Rhodocyclaceae bacterium Thauera-like
T00259	dar	Dechloromonas aromatica
T05616	dey	Dechloromonas sp. HYN0024
